Date_Pred,Date,Close_Price_USD
11/29/2023,11/29/2023,37546
11/29/2023,11/30/2023,38006
11/29/2023,12/1/2023,38467
11/29/2023,12/2/2023,38928
11/29/2023,12/3/2023,39389
11/29/2023,12/4/2023,39849
11/29/2023,12/5/2023,40310
11/29/2023,12/6/2023,40771
11/29/2023,12/7/2023,41232
11/29/2023,12/8/2023,41693
11/29/2023,12/9/2023,42153
11/29/2023,12/10/2023,42613
11/29/2023,12/11/2023,43074
11/29/2023,12/12/2023,43535
11/29/2023,12/13/2023,43995
11/29/2023,12/14/2023,44456
11/29/2023,12/15/2023,44917
11/29/2023,12/16/2023,45469
11/29/2023,12/17/2023,46112
11/29/2023,12/18/2023,46756
11/29/2023,12/19/2023,47399
11/29/2023,12/20/2023,48042
11/29/2023,12/21/2023,48685
11/29/2023,12/22/2023,49329
11/29/2023,12/23/2023,49972
11/29/2023,12/24/2023,50615
11/29/2023,12/25/2023,50259
11/29/2023,12/26/2023,51902
11/29/2023,12/27/2023,52545
11/29/2023,12/28/2023,53188
12/2/2023,12/2/2023,38966
12/2/2023,12/3/2023,39492
12/2/2023,12/4/2023,40018
12/2/2023,12/5/2023,40544
12/2/2023,12/6/2023,41070
12/2/2023,12/7/2023,41596
12/2/2023,12/8/2023,42122
12/2/2023,12/9/2023,42647
12/2/2023,12/10/2023,43173
12/2/2023,12/11/2023,43699
12/2/2023,12/12/2023,44225
12/2/2023,12/13/2023,44751
12/2/2023,12/14/2023,45277
12/2/2023,12/15/2023,45803
12/2/2023,12/16/2023,46329
12/2/2023,12/17/2023,46856
12/2/2023,12/18/2023,47589
12/2/2023,12/19/2023,48324
12/2/2023,12/20/2023,49058
12/2/2023,12/21/2023,49793
12/2/2023,12/22/2023,50527
12/2/2023,12/23/2023,51262
12/2/2023,12/24/2023,51996
12/2/2023,12/25/2023,52730
12/2/2023,12/26/2023,53464
12/2/2023,12/27/2023,54199
12/2/2023,12/28/2023,54933
12/2/2023,12/29/2023,55668
12/2/2023,12/30/2023,56402
12/2/2023,12/31/2023,57137
12/5/2023,12/6/2023,42554
12/5/2023,12/7/2023,43217
12/5/2023,12/8/2023,43880
12/5/2023,12/9/2023,44543
12/5/2023,12/10/2023,45206
12/5/2023,12/11/2023,45869
12/5/2023,12/12/2023,46531
12/5/2023,12/13/2023,47194
12/5/2023,12/14/2023,47856
12/5/2023,12/15/2023,48519
12/5/2023,12/16/2023,49182
12/5/2023,12/17/2023,49845
12/5/2023,12/18/2023,50507
12/5/2023,12/19/2023,51170
12/5/2023,12/20/2023,52096
12/5/2023,12/21/2023,53020
12/5/2023,12/22/2023,53946
12/5/2023,12/23/2023,54872
12/5/2023,12/24/2023,55797
12/5/2023,12/25/2023,56723
12/5/2023,12/26/2023,57647
12/5/2023,12/27/2023,58573
12/5/2023,12/28/2023,59498
12/5/2023,12/29/2023,60424
12/5/2023,12/30/2023,61350
12/5/2023,12/31/2023,62275
12/5/2023,1/1/2024,63200
12/5/2023,1/2/2024,62568
12/5/2023,1/3/2024,63003
12/5/2023,1/4/2024,63437
